2018-06-11 16:24:00 - NOTICE --> Flushing WordPress Rewrite Rules. [] {"memory_peak_usage":"20.25 MB","file":"/Users/greggall/Sites/Peachtree/wp-content/plugins/gravity-forms-pdf-extended/src/model/Model_Install.php","line":394,"class":"GFPDF\\Model\\Model_Install","function":"maybe_flush_rewrite_rules"}
2018-06-11 16:24:02 - NOTICE --> Flushing WordPress Rewrite Rules. [] {"memory_peak_usage":"26.25 MB","file":"/Users/greggall/Sites/Peachtree/wp-content/plugins/gravity-forms-pdf-extended/src/model/Model_Install.php","line":394,"class":"GFPDF\\Model\\Model_Install","function":"maybe_flush_rewrite_rules"}
2018-06-11 16:24:11 - NOTICE --> Flushing WordPress Rewrite Rules. [] {"memory_peak_usage":"6.25 MB","file":"/Users/greggall/Sites/Peachtree/wp-content/plugins/gravity-forms-pdf-extended/src/model/Model_Install.php","line":394,"class":"GFPDF\\Model\\Model_Install","function":"maybe_flush_rewrite_rules"}
2018-06-11 16:24:12 - NOTICE --> Flushing WordPress Rewrite Rules. [] {"memory_peak_usage":"20.25 MB","file":"/Users/greggall/Sites/Peachtree/wp-content/plugins/gravity-forms-pdf-extended/src/model/Model_Install.php","line":394,"class":"GFPDF\\Model\\Model_Install","function":"maybe_flush_rewrite_rules"}
2018-06-11 16:24:19 - NOTICE --> Flushing WordPress Rewrite Rules. [] {"memory_peak_usage":"12.25 MB","file":"/Users/greggall/Sites/Peachtree/wp-content/plugins/gravity-forms-pdf-extended/src/model/Model_Install.php","line":394,"class":"GFPDF\\Model\\Model_Install","function":"maybe_flush_rewrite_rules"}
2018-06-11 16:24:19 - NOTICE --> Flushing WordPress Rewrite Rules. [] {"memory_peak_usage":"26.25 MB","file":"/Users/greggall/Sites/Peachtree/wp-content/plugins/gravity-forms-pdf-extended/src/model/Model_Install.php","line":394,"class":"GFPDF\\Model\\Model_Install","function":"maybe_flush_rewrite_rules"}
2018-06-11 16:24:55 - NOTICE --> Flushing WordPress Rewrite Rules. [] {"memory_peak_usage":"12.25 MB","file":"/Users/greggall/Sites/Peachtree/wp-content/plugins/gravity-forms-pdf-extended/src/model/Model_Install.php","line":394,"class":"GFPDF\\Model\\Model_Install","function":"maybe_flush_rewrite_rules"}
2018-06-11 16:25:07 - NOTICE --> Flushing WordPress Rewrite Rules. [] {"memory_peak_usage":"22.25 MB","file":"/Users/greggall/Sites/Peachtree/wp-content/plugins/gravity-forms-pdf-extended/src/model/Model_Install.php","line":394,"class":"GFPDF\\Model\\Model_Install","function":"maybe_flush_rewrite_rules"}
2018-06-11 16:25:09 - NOTICE --> Flushing WordPress Rewrite Rules. [] {"memory_peak_usage":"20.25 MB","file":"/Users/greggall/Sites/Peachtree/wp-content/plugins/gravity-forms-pdf-extended/src/model/Model_Install.php","line":394,"class":"GFPDF\\Model\\Model_Install","function":"maybe_flush_rewrite_rules"}
2018-06-11 16:25:16 - NOTICE --> Flushing WordPress Rewrite Rules. [] {"memory_peak_usage":"14.25 MB","file":"/Users/greggall/Sites/Peachtree/wp-content/plugins/gravity-forms-pdf-extended/src/model/Model_Install.php","line":394,"class":"GFPDF\\Model\\Model_Install","function":"maybe_flush_rewrite_rules"}
